file,sheet,method,row_index,column_name,value
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,SZARMAZAS,2
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,TELEPULES_KAT,Ajak
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,TELEPÜLÉS,Ajak
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,HELYINEV_KAT,Kovács István 2. sz. öntözőkút
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,HELYINEV,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,EOVY,872906
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,EOVX,320469.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,TSZF,97.78
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,OBJKOD,k
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,TALP,45.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,SZURO_F,18.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,SZURO_A,42.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,SZURO_DB,2.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,SZUROHOSSZ,15.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,LETESITESEVE,1998.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,NYUGALMI,-0.02
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,UZEMI,-14.4
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,HOZAM,1800.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,HOMERS,14.0
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,Z,
2011\Vizmérleg_2011_FETI\vízmérlegexobj_2011.xls,vízmérlegexobj2011,pandas,4.0,AA,
